序号,城市,区,名称,地址,电话,营业时间,配套设施,室内,室外,硬地,红土,草地
469,上海,闵行区,Best U保利光合体育公园,兰莲路168弄,,,,0,1,1,0,0
470,上海,闵行区,奕晋网球俱乐部,放鹤路2169号,,,,8,0,0,8,0
471,上海,闵行区,明越网球俱乐部(永德路店),莲花南路3999弄满天星生活广场7号楼,,,,0,1,1,0,0
472,上海,闵行区,PDT紫色动力国际网球俱乐部,龙吴路5891号火星一号商业广场,,,,1,1,2,0,0
473,上海,闵行区,至臻网球(莘庄店),莘沥路580号丙至臻网球,,,,4,0,4,0,0
474,上海,闵行区,恒瑞网球俱乐部(莘庄龙之梦店),沪闵路6088号凯德闵行商业中心F4,,,,0,1,1,0,0
475,上海,闵行区,瑞趣网球俱乐部(莘庄店),都市路5001号仲盛世界商城五层5F24,,,,2,1,3,0,0
476,上海,闵行区,迈乐网球俱乐部,宝城路莘城公寓1号门,,,,0,1,1,0,0
477,上海,闵行区,阳光中心网球会馆,新桥光华支路2891号,,,,3,0,3,0,0
478,上海,松江区,酷享网球(莘松路店),莘松路1288弄(浦菲优澜健身房门前),,,,0,2,2,0,0
479,上海,松江区,道格馨庭网球俱乐部,明中路1588弄849号,,,,0,2,2,0,0
480,上海,松江区,道格达安网球俱乐部,明中路1177弄圣芭芭花园网球场,,,,0,1,1,0,0
481,上海,松江区,相见网球空调场(申徐二路店),申徐二路8号(相见网球),,,,2,0,2,0,0
482,上海,浦东新区,大桥网球,塘桥街道南浦大桥下龙阳路5号-1,,,,2,0,2,0,0
483,上海,浦东新区,星跃网球俱乐部,浦明路1888号东江体育文化中心,,,,0,6,6,0,0
484,上海,浦东新区,VEGA TENNIS,民生路288号海事邻里中心三号楼3楼,,,,2,0,2,0,0
485,上海,浦东新区,快网网球俱乐部(羽山乐坊店),崮山路717号乐坊·羽山生活广场6F天台,,,,0,1,1,0,0
486,上海,浦东新区,因乐驰网球俱乐部(陆家嘴店),启新路1号对面(菊园学校对面内部停车),,,,0,1,1,0,0
487,上海,浦东新区,007网球新大陆店,新大陆广场南泉北路588号北楼5楼,,,,0,1,1,0,0
488,上海,浦东新区,快网·世纪大道球场,向城路29号世纪公馆,,,,0,1,1,0,0
489,上海,浦东新区,光圈网球·HALOTENNIS(通茂大厦),松林路357号通茂大厦五楼,,,,0,1,1,0,0
490,上海,浦东新区,源深体育中心·浦东网球中心,羽山路9号(近桃林路),,,,16,0,16,0,0
491,上海,浦东新区,快网网球俱乐部(杨高中路店),杨源路195号,,,,2,0,0,0,2
492,上海,浦东新区,中邦风雅颂联洋花园网球场,丁香路1089弄,,,,0,1,1,0,0
493,上海,黄浦区,七乐网球(黄浦店),半淞园路388号越界·世博园C2幢楼顶,,,,0,2,0,0,2
494,上海,黄浦区,沪逸动网球俱乐部,外马路1353号(世博黄浦体育园3楼),,,,0,2,2,0,0
495,上海,黄浦区,世博黄浦体育园,外马路1353号,,,,2,1,3,0,0
496,上海,虹口区,北外滩社区市民健身中心,通州路99号,,,,3,0,3,0,0
497,上海,宝山区,二元里体育文化中心,宝安公路2400弄159号,,,,0,3,3,0,0
498,上海,嘉定区,包桥社区公共运动场,马陆镇宝安公路2888弄包桥小区内,,,,0,1,1,0,0
499,上海,嘉定区,满贯体育·紫气东来体育公园,紫气东来体育公园(天祝路与云谷路路口),,,,0,4,4,0,0
500,上海,嘉定区,满贯体育·龙湖运动场(环城林带运动场),龙湖郦城西区西南门东南160米...,,,,0,1,1,0,0
501,上海,嘉定区,满贯体育·市民体育公园,安亭镇安辰路,,,,0,4,4,0,0
502,上海,嘉定区,蓝莲花网球俱乐部・嘉亭荟,墨玉南路1055号嘉亭荟城市生活广场F4层,,,,0,2,2,0,0
503,上海,嘉定区,Ace Park极网体育,安亭镇博园路7575号会展中心南厅7号门,,,,2,0,2,0,0
504,上海,嘉定区,蒋越网球俱乐部,杭桂路1100号中波研发大楼院内,,,,2,0,2,0,0
505,上海,嘉定区,光圈网球·HALOTENNIS (曹安国际室内馆),曹安公路1899号曹安国际商城四楼,,,,2,3,5,0,0
506,上海,嘉定区,HGA网球俱乐部(曹丰店),曹安公路1685号,,,,0,2,2,0,0
507,上海,青浦区,酷享网球(南华苑度假村店),华新南华苑度假村华腾路969号,,,,0,2,2,0,0
508,上海,青浦区,派网球(Tennis),华新镇民兴大道77号派网球,,,,3,0,3,0,0
509,上海,青浦区,明熙网球学院大虹桥基地,徐泾镇徐祥路368号,,,,8,0,8,0,0
510,上海,青浦区,易网球(蟠龙天地店)·德必易园洛克公园,华徐公路605号(西虹桥德必易园),,,,2,2,4,0,0
511,上海,青浦区,添蓝添达网球场,崧复路1877号,,,,2,0,2,0,0
512,上海,青浦区,酷享网球(徐泾北城都市运动中心店),徐泾镇乐强路300号三楼,,,,1,0,1,0,0
513,上海,青浦区,崧泽网球场(松润泽),秀淳路与崧润路交叉口东北40米,,,,0,2,2,0,0
514,上海,青浦区,Relax芮雷克斯室内网球馆,盈港东路6655号2幢202,,,,2,0,2,0,0
515,上海,青浦区,诸星耀网球俱乐部,崧秀陆288号上海崧亮科技有限公司园...,,,,2,0,2,0,0
516,上海,青浦区,酷享网球(熊猫广场店),沪青平公路2899号熊猫广场2楼E205号...,,,,0,2,2,0,0
517,上海,青浦区,HGA网球俱乐部(元祖梦世界店),嘉松中路6200号元祖梦世界5楼,,,,0,3,0,0,3
518,上海,黄浦区,七乐网球(黄浦店),半淞园路388号越界·世博园C2幢楼顶,,,,0,2,0,0,2
519,上海,黄浦区,沪逸动网球俱乐部,外马路1353号(世博黄浦体育园3楼楼...,,,,0,2,2,0,0
520,上海,黄浦区,快网网球俱乐部(绿地缤纷城店),龙华东路810号,,,,0,1,0,0,1
521,上海,黄浦区,ThirtyAll Tennis Club (鲁班路店),鲁班路909号,,,,0,1,1,0,0
522,上海,浦东新区,大桥网球,塘桥街道南浦大桥下龙阳路5号-1,,,,2,0,2,0,0
523,上海,浦东新区,星跃网球俱乐部(东江体育文化中心),浦明路1888号东江体育文化中心,,,,0,6,6,0,0
524,上海,浦东新区,Our Tennis网球俱乐部(Dome世博球场),世博大道1368号1区L2层,,,,1,0,1,0,0
525,上海,浦东新区,世博源室内网球场·GamelsOn竞昂体育,世博源2区L2层(新白鹿餐厅旁),,,,1,0,1,0,0
526,上海,浦东新区,憨牛网球俱乐部(浦东店),国展路812号园区内,,,,2,0,2,0,0
527,上海,浦东新区,ThirtyAll关键分网球世博源店,世博大道1368号世博源五区南广场,,,,0,3,3,0,0
528,上海,浦东新区,拍晟网球(浦东游泳馆店),浦东南路3669弄浦东游泳馆旁,,,,0,2,2,0,0
529,上海,浦东新区,三林体育中心,云莲路201号,,,,0,2,2,0,0
530,上海,浦东新区,极拍运动(三林体育中心店),云莲路201号三林体育中心2号门一楼商...,,,,3,0,3,0,0
531,上海,浦东新区,快网网球俱乐部(浦东大华店),成山路1139号锦绣中心5楼,,,,0,2,2,0,0
532,上海,浦东新区,Bon Bon Tennis,特来电充电站(上海交运上南路3459号充...,,,,2,0,2,0,0
533,上海,浦东新区,至臻网球(前滩店),西营南路555号新东里运动中心三楼,,,,2,0,2,0,0
534,上海,浦东新区,快网网球俱乐部(杨思晟初体育中心店),长清路1200弄森宏购物广场,,,,0,2,2,0,0
535,上海,浦东新区,奈杰尔网球俱乐部(济阳路店),济阳路1875号,,,,3,0,3,0,0
536,上海,浦东新区,HGA网球俱乐部(三林前滩店·济阳路旗舰店),济阳路1973号,,,,0,6,6,0,0
537,上海,浦东新区,东诚网球俱乐部,三林镇三林地铁站三号口后面,,,,0,1,1,0,0
538,上海,浦东新区,至臻网球(金谊店),上南路4467号至臻网球金谊店(金谊天...,,,,0,4,4,0,0
539,上海,浦东新区,振狮七乐,前滩体育公园西门西南240米上海民航...,,,,2,0,2,0,0
540,上海,浦东新区,快网网球俱乐部(前滩体育公园店),前滩大道735号前滩休闲公园,,,,0,2,2,0,0
541,上海,徐汇区,麦趣网球俱乐部(徐汇滨江店),东安路562号绿地缤纷城6楼空中花园,,,,1,0,1,0,0
542,上海,徐汇区,麦趣网球俱乐部(徐汇尚湾里店),宛南实验幼儿园(瑞宁路816号)马路对面楼...,,,,0,1,1,0,0
543,上海,徐汇区,DUECE TENNIS寻网网球·徐滨店,瑞平路320号保利时光里B1-3132,,,,3,0,3,0,0
544,上海,徐汇区,RING TENNIS 光环网球(徐汇店),瑞平路230号保利时光里3楼天台,,,,0,1,1,0,0
545,上海,徐汇区,瑞趣网球俱乐部(南站店),石龙路730号(近上海长途客运南站2号门,,,,1,0,1,0,0
546,上海,徐汇区,光圈网球×元気UP Tennis,罗秀路1135号,,,,0,4,4,0,0
547,上海,徐汇区,至臻网球(徐汇旗舰店),平福路299-1号,,,,6,0,6,0,0
548,上海,徐汇区,乐动力·西岸风之谷体育公园,龙吴路1800号,,,,6,0,6,0,0
549,上海,普陀区,沪动网球馆(真南路店),真南路822弄455支弄,,,,4,0,4,0,0
550,上海,普陀区,决胜点网球(未来岛店),绥德路613弄1号楼旁,,,,0,2,2,0,0
551,上海,普陀区,金鼎网球场,金鼎路1500号,,,,0,4,4,0,0
552,上海,普陀区,十五分网球俱乐部,普陀区铜川路1688号,,,,0,1,1,0,0
553,上海,普陀区,穿越致胜网球俱乐部(中环百联店),真光路1288号中环百联5楼平台,,,,0,3,0,0,3
554,上海,普陀区,至臻网球(梅川店),梅川路1318号至臻网球场(迪卡侬背面),,,,4,0,4,0,0
555,上海,宝山区 ,6号网球中心 ,逸仙路1328号新业坊·源创园区内 ,,,,3,3,6,0,0
556,上海,宝山区 ,One More Club OMC网球场 ,淞南镇军工路5169号宝车荟复地网球场 ,,,,6,0,6,0,0
557,上海,宝山区 ,海鸥网球俱乐部 ,中成智谷B0栋五楼网球场 ,,,,0,1,1,0,0
558,上海,宝山区 ,合一网球俱乐部(芳草寓店) ,淞南镇松行路323号芳草寓小区内网球场 ,,,,2,0,2,0,0
559,上海,宝山区 ,跃网·RISING(淞南网球中心) ,淞发路(和欣假日商业广场南方向100... ,,,,3,4,7,0,0
560,上海,宝山区 ,CPK TENNIS ,长逸路15号建配龙C馆5楼(盒马旁电梯... ,,,,2,0,2,0,0
561,上海,宝山区 ,极星网球俱乐部 ,何家湾路2号内 ,,,,8,0,8,0,0
562,上海,虹口区 ,沪动吧网球俱乐部(彩虹湾店) ,凉城路2158号(江湾派出所洛克公园7... ,,,,0,2,2,0,0
563,上海,黄浦区 ,七乐网球(黄浦店) ,半淞园路388号越界·世博园C2幢楼顶 ,,,,0,2,0,0,2
564,上海,黄浦区 ,沪逸动网球俱乐部 ,外马路1353号(世博黄浦体育园3楼楼... ,,,,0,2,2,0,0
565,上海,黄浦区 ,快网网球俱乐部(绿地缤纷城店) ,龙华东路810号 ,,,,0,1,0,0,1
566,上海,黄浦区 ,ThirtyAll Tennis Club (鲁班路店) ,鲁班路909号 ,,,,0,1,1,0,0
567,上海,嘉定区 ,光圈网球·HALOTENNIS (曹安国际室内馆) ,曹安公路1899号曹安国际商城四楼 ,,,,3,2,5,0,0
568,上海,嘉定区 ,HGA网球俱乐部(曹丰店) ,曹安公路1685号 ,,,,0,2,2,0,0
569,上海,浦东新区 ,达高运动馆·勋燃体育 ,莱阳路2927弄49号 ,,,,1,0,1,0,0
570,上海,浦东新区 ,大桥网球 ,塘桥街道南浦大桥下龙阳路5号-1 ,,,,2,0,2,0,0
571,上海,浦东新区 ,星跃网球俱乐部(东江体育文化中心) ,浦明路1888号东江体育文化中心 ,,,,0,6,6,0,0
572,上海,浦东新区 ,Our Tennis网球俱乐部(Dome世博球场) ,世博大道1368号1区L2层 ,,,,1,0,1,0,0
573,上海,浦东新区 ,世博源室内网球场·GamelsOn竞昂体育 ,世博源2区L2层(新白鹿餐厅旁) ,,,,1,0,1,0,0
574,上海,浦东新区 ,憨牛网球俱乐部(浦东店) ,国展路812号园区内 ,,,,2,0,2,0,0
575,上海,浦东新区 ,ThirtyAll关键分网球世博源店 ,世博大道1368号世博源五区南广场 ,,,,0,3,3,0,0
576,上海,浦东新区 ,拍晟网球(浦东游泳馆店) ,浦东南路3669弄浦东游泳馆旁 ,,,,0,2,2,0,0
577,上海,浦东新区 ,三林体育中心 ,云莲路201号 ,,,,0,2,2,0,0
578,上海,浦东新区 ,极拍运动(三林体育中心店) ,云莲路201号三林体育中心2号门一楼商... ,,,,3,0,3,0,0
579,上海,浦东新区 ,快网网球俱乐部(浦东大华店) ,成山路1139号锦绣中心5楼 ,,,,0,2,2,0,0
580,上海,浦东新区 ,Bon Bon Tennis ,特来电充电站(上海交运上南路3459号充... ,,,,2,0,2,0,0
581,上海,浦东新区 ,至臻网球(前滩店) ,西营南路555号新东里运动中心三楼 ,,,,2,0,2,0,0
582,上海,浦东新区 ,快网网球俱乐部(杨思晟初体育中心店) ,长清路1200弄森宏购物广场 ,,,,0,2,2,0,0
583,上海,浦东新区 ,奈杰尔网球俱乐部(济阳路店) ,济阳路1875号 ,,,,3,0,3,0,0
584,上海,浦东新区 ,HGA网球俱乐部(三林前滩店·济阳路旗舰店) ,济阳路1973号 ,,,,0,6,6,0,0
585,上海,浦东新区 ,东诚网球俱乐部 ,三林镇三林地铁站三号口后面 ,,,,0,1,1,0,0
586,上海,浦东新区 ,至臻网球(金谊店) ,上南路4467号至臻网球金谊店(金谊天... ,,,,0,4,4,0,0
587,上海,浦东新区 ,振狮七乐 ,前滩体育公园西门西南240米上海民航... ,,,,2,0,2,0,0
588,上海,浦东新区 ,快网网球俱乐部(前滩体育公园店) ,前滩大道735号前滩休闲公园 ,,,,0,2,2,0,0
589,上海,普陀区 ,沪动网球馆(真南路店) ,真南路822弄455支弄 ,,,,4,0,4,0,0
590,上海,普陀区 ,决胜点网球(未来岛店) ,绥德路613弄1号楼旁 ,,,,0,2,2,0,0
591,上海,普陀区 ,金鼎网球场 ,金鼎路1500号 ,,,,0,4,4,0,0
592,上海,普陀区 ,十五分网球俱乐部 ,普陀区铜川路1688号 ,,,,0,1,1,0,0
593,上海,普陀区 ,穿越致胜网球俱乐部(中环百联店) ,真光路1288号中环百联5楼平台 ,,,,0,3,0,0,3
594,上海,普陀区 ,至臻网球(梅川店) ,梅川路1318号至臻网球场(迪卡侬背面) ,,,,4,0,4,0,0
595,上海,徐汇区 ,麦趣网球俱乐部(徐汇滨江店) ,东安路562号绿地缤纷城6楼空中花园 ,,,,1,0,1,0,0
596,上海,徐汇区 ,麦趣网球俱乐部(徐汇尚湾里店) ,宛南实验幼儿园(瑞宁路816号)马路对面楼... ,,,,0,1,1,0,0
597,上海,徐汇区 ,DUECE TENNIS寻网网球·徐滨店 ,瑞平路320号保利时光里B1-3132 ,,,,3,0,3,0,0
598,上海,徐汇区 ,RING TENNIS 光环网球(徐汇店) ,瑞平路230号保利时光里3楼天台 ,,,,0,1,1,0,0
599,上海,徐汇区 ,瑞趣网球俱乐部(南站店) ,石龙路730号(近上海长途客运南站2号门 ,,,,1,0,1,0,0
600,上海,徐汇区 ,光圈网球×元気UP Tennis ,罗秀路1135号 ,,,,0,4,4,0,0
601,上海,徐汇区 ,至臻网球(徐汇旗舰店) ,平福路299-1号 ,,,,6,0,6,0,0
602,上海,徐汇区 ,乐动力·西岸风之谷体育公园 ,龙吴路1800号 ,,,,6,0,6,0,0
603,上海,杨浦区 ,DF综合体育 ,新江湾城政和路1038号门店 ,,,,0,1,1,0,0
604,上海,杨浦区 ,快网网球俱乐部(杨浦运动健康促进中心公共运动场店) ,淞沪路2100号SMP滑板公园东北门网球场 ,,,,0,3,3,0,0
605,上海,杨浦区 ,瑞趣网球俱乐部(杨浦悠方店) ,殷行路1388号悠方购物中心R6栋4楼网球场 ,,,,1,0,1,0,0
606,上海,杨浦区 ,至臻网球·五角场店 ,武东路32号海达工业园4号楼1楼 ,,,,4,0,4,0,0
607,上海,杨浦区 ,极拍运动(安徒生网球馆) ,国泓路200号(10号线殷高东路站4号口步行5... ,,,,2,0,2,0,0
608,上海,杨浦区 ,中原体育场 ,开鲁路518-1号 ,,,,0,2,2,0,0
609,上海,杨浦区 ,祥铭网球中心 ,民京路781号祥铭城市运动中心四号馆祥铭网... ,,,,1,0,1,0,0
610,上海,杨浦区 ,光圈网球·HALOTENNIS (江湾草地店) ,国和路346号江湾体育场 ,,,,0,5,0,0,5
611,上海,杨浦区 ,快网网球俱乐部(江湾体育中心店) ,国和路346号江湾体育场内 ,,,,2,2,4,0,0
612,上海,杨浦区 ,打开网球 ,翔殷路1099号合生汇国际广场6楼(五号电梯... ,,,,0,1,1,0,0
613,上海,杨浦区 ,明星网球俱乐部 ,民星路158号(和水实业园内) ,,,,4,0,4,0,0
614,上海,长宁区,泰荣苑,水城路680弄,,,,0,1,1,0,0
615,上海,长宁区,至臻网球(古北店),红宝石路533号古北花世界210室...,,,,2,0,2,0,0
616,上海,长宁区,金智塔网球中心(古北店),虹桥街道古羊路717号,,,,0,3,3,0,0
617,上海,长宁区,企曾体育(原天辰俱乐部古北网球场),富贵东道118号后面网球场,,,,0,2,2,0,0
618,上海,长宁区,七乐网球·古北店,古羊路459号(姚虹路地铁旁),,,,0,3,3,0,0
619,上海,长宁区,拼搏体育网球俱乐部(新时空网球场),汇川路99号新时空国际商务广场8楼,,,,2,0,2,0,0
620,上海,长宁区,华敏世纪广场,延安西路688弄3号-16号,,,,0,1,1,0,0
621,上海,长宁区,长宁网球场,华山路1038弄173号,,,,0,3,3,0,0
622,上海,长宁区,快网网球俱乐部(虹桥路店),虹桥街道中山西路1279弄2号楼澳空间,,,,0,1,1,0,0
623,上海,闵行区,HGA网球俱乐部(体汇+名都体育公园店),虹桥镇红松东路620号体汇+名都体育公园,,,,0,2,0,0,2
624,上海,闵行区,亦新网球俱乐部(光大会展室外店),漕宝路82号上海光大会展中心E座4楼天台,,,,0,2,2,0,0
625,上海,徐汇区,洛克公园网球馆(漕河泾商汤),宜山路1101号,,,,0,2,2,0,0
626,上海,徐汇区,七乐网球(徐汇田林店),田林路130号锦和越界田林坊81栋(顶楼...,,,,0,1,1,0,0
627,上海,徐汇区,田林体育俱乐部,田林体育俱乐部东门旁,,,,0,4,4,0,0
628,上海,徐汇区,上海光大会展中心网球场(沪动吧网球俱乐部,漕宝路88号,,,,1,0,1,0,0
629,上海,徐汇区,亦新网球俱乐部(光大会展室内店),漕宝路82号上海光大会展中心E座4楼天台,,,,1,0,1,0,0
630,上海,徐汇区,康东网球馆(室内红土场),浦北路270号,,,,3,0,0,3,0
631,上海,徐汇区,康东网球馆(室外硬地场),浦北路270号,,,,0,4,4,0,0
632,上海,徐汇区,汾阳花园酒店网球场,汾阳路45号,,,,0,1,1,0,0
633,上海,徐汇区,星际体城(吴兴路店),吴兴路277号吴界1号楼15楼,,,,0,1,1,0,0
634,上海,徐汇区,星际体城(文定路店-室外网球场),文定路218号B栋5楼,,,,0,5,5,0,0
635,上海,徐汇区,越界全景网球场,凯旋路2588号锦和越界原力方屋顶,,,,0,1,0,0,1
636,上海,徐汇区,徐家汇体育公园综合馆·室外场,漕溪北路1111号,,,,0,4,4,0,0
637,上海,徐汇区,奉城镇第一体育公共运动场,江阴路泰方社区,,,,0,1,1,0,0
638,上海,徐汇区,WoW Tennis 沃梧网球,嘉善路508号1号楼10楼,,,,0,3,3,0,0
639,上海,徐汇区,陕西南路888俱乐部,陕西南路888弄1号楼8楼顶层,,,,0,1,1,0,0
640,上海,普陀区,至臻网球(曹杨店),曹杨路520号至臻网球,,,,2,0,2,0,0
641,上海,普陀区,四方体育中心网球馆(苏堤春晓名苑网球场)-,长寿路800弄,,,,0,1,1,0,0
642,上海,静安区,静安区工人体育场,昌平路888号,,,,0,2,2,0,0
643,上海,静安区,星空网球俱乐部,大田路555号,,,,0,2,2,0,0
644,上海,静安区,1877网球俱乐部(静安嘉里店),南京西路1515号静安嘉里中心商场东区3楼...,,,,0,1,1,0,0
645,上海,静安区,静安区体育馆,南阳路123号,,,,2,0,2,0,0
646,上海,静安区,内啡肽(七浦路店),河南北路99号,,,,0,1,1,0,0
647,上海,静安区,3L Tennis(七浦路店),七浦路488号白马高级服装市场3楼楼顶平台,,,,0,1,1,0,0
648,上海,黄浦区,Best U网球中心(花园饭店),茂名南路58号(进花园饭店大门直走到底...,,,,0,2,2,0,0
649,上海,黄浦区,卢湾网球中心·室外场,肇嘉浜路128号(卢湾体育馆内近陕西南路),,,,0,4,4,0,0
650,上海,黄浦区,卢湾网球中心·室内馆,肇嘉浜路128号(卢湾体育馆内近陕西南路),,,,2,0,2,0,0
651,上海,黄浦区,Bund Tennis 邦德网球(新天地店)·翠湖天地御苑会所,顺昌路168弄10号翠湖天地御苑会所B2,,,,1,0,1,0,0
652,上海,虹口区,白玉兰网球中心,东长治路588号,,,,2,2,4,0,0
